title,author,location/aisle,location/column,location/row
Auto Electronics Projects,Maplin,A,1,5
Conquerorâ€™s Legacy,Timothy Zahn,A,2,5
Exotic Marine Fishes,Dr. Herbert R. Axelrod,A,3,5
Electronic Sensor Circuits & Projects,Forrest M. Mims III,A,1,4
Machine Learning,Carbonell,A,2,4
Consciousness,Blackmore,A,3,4
Discrete Optimization Algorithms,Syslo Deo Kowalik,A,1,3
An Introduction to Programming: An Object-Oriented Approach with C++,C. Thomas Wu,A,2,3
Theory of Recursive Functions and Effective Computability,Rogers,A,3,3
Selected Reprints On VLSI Technologies and Computer Graphics,Henry Fuchs,A,1,2
Hard Real-Time Systems,"John, Kirithi",A,2,2
Applied Combinatorics with Problem Solving,Jackson Thoro,A,3,2
Galileo's Daughter,Dava Sobel,A,1,1
Digital Systems Principles and Applications Revised and Enlarged,Ronald J. Tocci,A,2,1
Structured Computer Organization,Andrew S. Tanenbaum,A,3,1
Freedom's Landing,Anne McCaffrey,B,3,2
"Robots, Androids, and Animatrons",John Lovine,B,1,1
Guide to Data Analysis,Jarija J. Norusis,B,2,1
TTL Logic,Texas Instruments,B,3,3
Essentials of Behavioral Research: Methods and Data Analysis,"Rosenthal, Rosnow",B,2,3
Handbook of Modern Sensors,Jacob Fraden,B,1,3
Practical Digital Design Using ICs,Joseph D. Greenfield,B,3,4
Discover Your True North,Bill George,B,2,4
Sams Teach Yourself Java 2,"Cadenhead, Lemay",B,1,4
Computer Engineering Hardware Design,M. Morris Mano,B,3,5
What You See Is Where You Act Interlacing the Display and Manipulation Spaces,J.P. Djajadiningrat,B,2,5
Circuit Encyclopedia,McGraw-Hill,B,1,5
Introduction to Computing and Algorithms,Russel L. Shackelford,B,3,1
Fashion Geek,Diana Eng,B,1,2
Computer Vision and Applications,"Jahne, Hausecker",B,2,2
"Programmer's Problem Solver for the IBM PC, XT & AT",Robert Jourdain,C,1,2
Fundamentals of Graphics Communication,"Bertoline, Wiebe, Miller, Nasman",C,2,4
Signals and Systems An Introduction to Analog and Digital Signal Processing,Alan V. Oppenheim,C,1,4
The Art of Manipulating Fabric,Colette Wolff,C,3,5
ARM System Developer's Guide,"Sloss, Symes, Wright",C,2,5
Visual Modeling with Rational Rose and UML,Quatrani,C,1,5
Capacitive Sensors - Design and Applications,Larry K. Baxter,C,3,1
Hands-On Machine Learning with Scikit -Learn & TensorFlow,Aurelien Geron,C,2,1
Statistics for Experimenters,"Box, Hunter & Hunter",C,3,2
The Master IC Cookbook,Delton T. Horn,C,1,1
Enercell Battery Guidebook,Radio Shack,C,2,2
C++ Primer 2nd Edition,Stanley B. Lippman,C,3,3
Bootstrap Methods and their Application,"Davison, Hinkley",C,2,3
J2ME Games with MIDP2,Carol Hamer,C,1,3
Promised Land,"Connie Willis, Cynthia Felice",C,3,4
Discrete-Time Signal Processing,"Oppenheim, Schafer",D,3,1
Artificial Intelligence a Modern Approach,Russell & Norvig,D,2,1
The Master Handbook of IC Circuit Applications,Delton T. Horn,D,1,1
"C, The Complete Reference",Herbert Schildt,D,2,4
Neuroethology,Jerffrey M. Camhi,D,1,4
Expendable,James Alan Gardner,D,3,5
Teach Yourself Visually,Sherry Willard Kinkoph,D,2,5
Linux Toys,"Negus, Wolber",D,1,5
Markov Chains,Pierre Bremaud,D,3,2
Winds of Fury,Mercedes Lackey,D,2,2
Allied Electronics,Allied 790,D,3,3
Signals and Systems,Zoher Z. Karu,D,1,2
Outward Bound,James P. Hogan,D,2,3
The Life of Don Quixote and Sancho,Miguel De Unamuno,D,1,3
Computers in the Human Context,Tom Forester,D,3,4
Cosmos,Carl Sagan,E,3,2
Game of Thrones,George R.R. Martin,E,2,2
Mind Design ||,John Haugeland,E,1,2
"Algorithms on Strings, Trees, and Sequences",Dan Gusfield,E,1,5
ACM Computing Surveys,"Muntz, Shankar, et. al",E,2,5
"Computers: Their Structure, Use, and Influence","Slotnick, Slotnick",E,3,5
Casual Inference in Statistics,"Pearl, Glymour, Jewell",E,2,4
Knowledge-Based Image Processing Systems,"Graham, Barrett",E,1,4
The Lean Startup,Eric Ries,E,3,3
Introduction To Electrical Circuit Analysis,Robert Carter,E,2,3
Introduction to Electric Circuits,Herbert W. Jackson,E,1,3
An Introduction to Bayesian Networks,Finn. V Jensen,E,3,4
Pegasus in Space,Anne McCaffrey,E,3,1
Story of My Life,Jay McInerney,E,2,1
Rise & Resurrection of the American Programmer,Edward Yourdon,E,1,1
Starplex,Robert J. Sawyer,F,2,1
Magnificat,Julian May,F,1,1
The Quantum World,Kenneth W. Ford,F,3,1
Lean in for Graduates,Sheryl Sandberg,F,1,5
For the Love of Physics,"Goldstein, Lewin",F,1,4
Fun Home,Alison Bechdel,F,2,4
Ubiquitous Computing Fundamentals,John Krumm,F,3,3
America Again,Stephen Colbert,F,1,2
The Art of War,Sun Tzu,F,2,2
Colorless Tsukuru Tazaki and His Years of Pilgrimage,Haruki Murakami,F,2,5
Fahrenheit 451,Ray Bradbury,F,1,3
Treasure Island,Robert Louis Stevenson,F,2,3
Ender in Exile,Orson Scott Card,F,3,4
The Complete Persepolis,Marjane Satrapi,F,3,5
The Book Thief,Markus Zusak,G,2,3
Acts of Malice,Perri O'Shaughnessy,G,1,3
Concurrent Systems,Jean Bacon,G,3,2
"Commercial, Industrial, and Institutional Refrigeration",William B. Cooper,G,2,2
A Theory of Fun,Raph Koster,G,1,2
Causality,Judea Pearl,G,3,3
Digital Technology,Gerald E. Williams,G,1,4
Cognitive Science,George F. Luger,G,3,4
The Cartoon Guide to Statistics,Larry Gonick,G,2,4
Harry Potter and the Cursed Child,"Tiffany, Thorne, Rowling",G,1,5
Public Enemies,Bryan Burrough,G,3,5